Country,Year,Agriculture,Energy (supply),Industry,LULUCF,Other,Waste management,Total Emissions
Austria,1990,85923.0,50930308.0,11147297.0,-13973714.0,,27920.0,48217734.0
Austria,1991,86634.0,54636572.0,11042516.0,-19290169.0,,24365.0,46499918.0
Austria,1992,90309.0,50138795.0,10050838.0,-13711684.0,,11127.0,46579385.0
Austria,1993,87862.0,50549120.0,10062750.0,-15868195.0,,10796.0,44842333.0
Austria,1994,83258.0,50270061.0,10716014.0,-13309421.0,,10788.0,47770700.0
Austria,1995,84221.0,52776699.0,11191003.0,-18622055.0,,11110.0,45440978.0
Austria,1996,80147.0,56793454.0,10525278.0,-15162946.0,,11433.0,52247366.0
Austria,1997,89713.0,55724448.0,11478969.0,-22533469.0,,11755.0,44771416.0
Austria,1998,92473.0,55593290.0,11239062.0,-20849442.0,,12078.0,46087461.0
Austria,1999,85841.0,54485674.0,11083785.0,-22187062.0,,12400.0,43480638.0
Austria,2000,89333.0,53996953.0,12105338.0,-18279369.0,,12400.0,47924655.0
Austria,2001,92168.0,58124591.0,11961569.0,-24642723.0,,12400.0,45548005.0
Austria,2002,96531.0,59328388.0,12551060.0,-16104260.0,,12400.0,55884119.0
Austria,2003,93935.0,64826424.0,12479169.0,-11180743.0,,12400.0,66231185.0
Austria,2004,90569.0,64966518.0,12646434.0,-16031176.0,,12400.0,61684745.0
Austria,2005,95543.0,65468825.0,13518712.0,-15447042.0,,12400.0,63648438.0
Austria,2006,103040.0,62644627.0,14038274.0,-8701535.0,,10260.0,68094666.0
Austria,2007,109919.0,59214831.0,14759203.0,-8226196.0,,8208.0,65865965.0
Austria,2008,124672.0,58267440.0,15068206.0,-10017997.0,,6156.0,63448477.0
Austria,2009,126083.0,55139931.0,12031643.0,-9728731.0,,4104.0,57573030.0
Austria,2010,112350.0,57955471.0,13930377.0,-11957545.0,,2052.0,60042705.0
Austria,2011,125992.0,55686904.0,14076758.0,-11249711.0,,2052.0,58641995.0
Austria,2012,133665.0,53517436.0,13607192.0,-9378394.0,,2052.0,57881951.0
Austria,2013,127210.0,53693177.0,13936428.0,-5239809.0,,2052.0,62519058.0
Austria,2014,132776.0,50043148.0,13980762.0,-10045967.0,,2052.0,54112771.0
Austria,2015,145485.0,51811392.0,14398854.0,-4302762.0,,2052.0,62055021.0
Austria,2016,151607.0,53027854.0,14037224.0,-8341031.0,,2052.0,58877706.0
Austria,2017,150707.0,54698362.0,14750357.0,-4646150.0,,2052.0,64955328.0
Austria,2018,154825.0,53341553.0,13068084.0,1616608.0,,2052.0,68183122.0
Austria,2019,150776.0,53741397.0,14057009.0,5788432.0,,2052.0,73739666.0
Austria,2020,148945.0,48846492.0,13182338.0,-1162293.0,,2052.0,61017534.0
Austria,2021,149289.0,50670885.0,14929119.0,-3572141.0,,2052.0,62179204.0
Austria,2022,149169.0,47165793.0,14137123.0,-415364.0,,2052.0,61038773.0
Austria,2023,147512.0,43233015.0,13526377.0,7323296.0,,2052.0,64232252.0
Belgium,1990,179711.0,101652113.0,18204086.0,-2841595.0,0.0,299499.0,117493814.0
Belgium,1991,179137.0,105406233.0,17509654.0,-2375880.0,0.0,301194.0,121020338.0
Belgium,1992,177445.0,103928045.0,18101197.0,-2195078.0,0.0,312568.0,120324177.0
Belgium,1993,175733.0,103765744.0,17193240.0,-2206940.0,0.0,316489.0,119244266.0
Belgium,1994,180522.0,105606116.0,18855218.0,-1954851.0,0.0,191194.0,122878199.0
Belgium,1995,179986.0,105912940.0,19704870.0,-2181902.0,0.0,171500.0,123787394.0
Belgium,1996,178342.0,110204035.0,18947874.0,-2385871.0,0.0,173028.0,127117408.0
Belgium,1997,177514.0,104467242.0,19194680.0,-1928277.0,0.0,177950.0,122089109.0
Belgium,1998,176777.0,108888792.0,21038300.0,-2482998.0,0.0,151889.0,127772760.0
Belgium,1999,176494.0,103576128.0,20810416.0,-2160204.0,0.0,155555.0,122558389.0
Belgium,2000,171408.0,104462589.0,21937760.0,-1752501.0,0.0,203948.0,125023204.0
Belgium,2001,169998.0,104895791.0,20809719.0,-1594414.0,0.0,209525.0,124490619.0
Belgium,2002,170052.0,105300051.0,20996215.0,-2199283.0,0.0,416825.0,124683860.0
Belgium,2003,166779.0,106409020.0,21264163.0,-2106569.0,0.0,452077.0,126185470.0
Belgium,2004,167187.0,106207943.0,21935585.0,-1841240.0,0.0,501015.0,126970490.0
Belgium,2005,167142.0,104153657.0,20792156.0,-1899613.0,0.0,544734.0,123758076.0
Belgium,2006,166022.0,102385212.0,20740972.0,-1887313.0,0.0,608260.0,122013153.0
Belgium,2007,166618.0,100198519.0,19393258.0,-1596280.0,0.0,735007.0,118897122.0
Belgium,2008,164428.0,99735216.0,19607154.0,-1532827.0,0.0,697552.0,118671523.0
Belgium,2009,169524.0,93174200.0,13863214.0,-1377790.0,0.0,599858.0,106429006.0
Belgium,2010,174327.0,97615112.0,16091698.0,-528664.0,0.0,681516.0,114033989.0
Belgium,2011,172200.0,88290844.0,16167844.0,-491234.0,0.0,528077.0,104667731.0
Belgium,2012,169860.0,87394784.0,14404011.0,-543041.0,0.0,517581.0,101943195.0
Belgium,2013,174177.0,87198298.0,15133416.0,-971019.0,0.0,310069.0,101844941.0
Belgium,2014,181295.0,81373476.0,15305887.0,-1016099.0,0.0,220296.0,96064855.0
Belgium,2015,182033.0,85428376.0,15425600.0,-904255.0,0.0,291489.0,100423243.0
Belgium,2016,183503.0,83660726.0,15715218.0,-831705.0,0.0,256835.0,98984577.0
Belgium,2017,181361.0,83216170.0,15591837.0,-713697.0,0.0,292824.0,98568495.0
Belgium,2018,177062.0,83804103.0,15987945.0,-677737.0,0.0,287262.0,99578635.0
Belgium,2019,177944.0,84131014.0,15209001.0,-442521.0,0.0,280769.0,99356207.0
Belgium,2020,176771.0,76580411.0,14243347.0,-454565.0,0.0,254026.0,90799990.0
Belgium,2021,173564.0,79651379.0,14839179.0,-387530.0,0.0,263946.0,94540538.0
Belgium,2022,166137.0,74696917.0,13836058.0,-572921.0,0.0,215856.0,88342047.0
Belgium,2023,171600.0,71487608.0,12806220.0,-363302.0,0.0,237937.0,84340063.0
